N_PARTICLES,Solver,Percentage_Similarity,Hamming_Distance,Simple_Matching_Coefficient
5,qubosolverSA,100.0,0,1.0
5,qubosolverHr,100.0,0,1.0
5,qubosolverQA,100.0,0,1.0
10,qubosolverSA,100.0,0,1.0
10,qubosolverHr,100.0,0,1.0
10,qubosolverQA,89.5,21,0.895
15,qubosolverSA,100.0,0,1.0
15,qubosolverHr,100.0,0,1.0
20,qubosolverSA,93.0,56,0.93
20,qubosolverHr,95.0,40,0.95
30,qubosolverSA,93.77777777777779,112,0.9377777777777778
30,qubosolverHr,94.55555555555556,98,0.9455555555555556
40,qubosolverSA,94.96875,161,0.9496875
40,qubosolverHr,96.0,128,0.96
50,qubosolverSA,96.1,195,0.961
50,qubosolverHr,96.74000000000001,163,0.9674
60,qubosolverSA,96.55555555555554,248,0.9655555555555555
60,qubosolverHr,97.16666666666667,204,0.9716666666666667
70,qubosolverSA,97.0408163265306,290,0.9704081632653061
80,qubosolverSA,97.375,336,0.97375
