Run,Iteration,Simulated Annealing,Quantum Annealing
1,5,1.0,0.9897959183673469
1,10,1.0,0.9846938775510204
1,15,1.0,1.0
1,20,1.0,0.9795918367346939
1,25,1.0,0.9591836734693877
1,30,1.0,0.9846938775510204
1,35,1.0,1.0
1,40,1.0,0.9642857142857143
1,45,1.0,0.9693877551020408
1,50,1.0,0.9948979591836735
1,55,1.0,0.9897959183673469
1,60,1.0,0.9897959183673469
1,65,1.0,0.9591836734693877
1,70,1.0,0.9897959183673469
1,75,1.0,1.0
1,80,1.0,0.9897959183673469
1,85,1.0,1.0
1,90,1.0,0.9948979591836735
1,95,1.0,1.0
1,100,1.0,0.9846938775510204
2,5,1.0,0.9693877551020408
2,10,1.0,0.9846938775510204
2,15,1.0,0.9948979591836735
2,20,1.0,0.9846938775510204
2,25,1.0,1.0
2,30,1.0,0.9897959183673469
2,35,1.0,0.9846938775510204
2,40,1.0,1.0
2,45,1.0,1.0
2,50,1.0,0.9744897959183674
2,55,1.0,0.9795918367346939
2,60,1.0,0.9693877551020408
2,65,1.0,1.0
2,70,1.0,0.9948979591836735
2,75,1.0,0.9948979591836735
2,80,1.0,0.9744897959183674
2,85,1.0,0.9948979591836735
2,90,1.0,1.0
2,95,1.0,1.0
2,100,1.0,0.9693877551020408
3,5,1.0,0.9489795918367347
3,10,1.0,0.9795918367346939
3,15,1.0,0.9795918367346939
3,20,1.0,0.9846938775510204
3,25,1.0,0.9795918367346939
3,30,1.0,0.9846938775510204
3,35,1.0,0.9642857142857143
3,40,1.0,1.0
3,45,1.0,0.9795918367346939
3,50,1.0,0.9846938775510204
3,55,1.0,0.9795918367346939
3,60,1.0,1.0
3,65,1.0,0.9438775510204082
3,70,1.0,0.9846938775510204
3,75,1.0,1.0
3,80,1.0,1.0
3,85,1.0,0.9795918367346939
3,90,1.0,0.9897959183673469
3,95,1.0,1.0
3,100,1.0,0.9948979591836735
4,5,1.0,0.9846938775510204
4,10,1.0,0.9846938775510204
4,15,1.0,0.9642857142857143
4,20,1.0,1.0
4,25,1.0,0.9795918367346939
4,30,1.0,0.9846938775510204
4,35,1.0,1.0
4,40,1.0,1.0
4,45,1.0,0.9948979591836735
4,50,1.0,1.0
4,55,1.0,1.0
4,60,1.0,1.0
4,65,1.0,1.0
4,70,1.0,0.9897959183673469
4,75,1.0,0.9846938775510204
4,80,1.0,0.9846938775510204
4,85,1.0,0.9948979591836735
4,90,1.0,0.9897959183673469
4,95,1.0,0.9642857142857143
4,100,1.0,0.9744897959183674
5,5,1.0,0.9897959183673469
5,10,1.0,0.9795918367346939
5,15,1.0,0.9642857142857143
5,20,1.0,1.0
5,25,1.0,0.9948979591836735
5,30,1.0,0.9693877551020408
5,35,1.0,0.9540816326530612
5,40,1.0,0.9948979591836735
5,45,1.0,1.0
5,50,1.0,0.9948979591836735
5,55,1.0,0.9744897959183674
5,60,1.0,0.9846938775510204
5,65,1.0,0.9897959183673469
5,70,1.0,0.9846938775510204
5,75,1.0,0.9948979591836735
5,80,1.0,1.0
5,85,1.0,0.9948979591836735
5,90,1.0,1.0
5,95,1.0,0.9846938775510204
5,100,1.0,1.0
