N_PARTICLES,Solver,Percentage_Similarity,Hamming_Distance,Simple_Matching_Coefficient
2,qubosolverSA,100.0,0,1.0
2,qubosolverHr,100.0,0,1.0
2,qubosolverQA,100.0,0,1.0
4,qubosolverSA,100.0,0,1.0
4,qubosolverHr,100.0,0,1.0
4,qubosolverQA,100.0,0,1.0
6,qubosolverSA,100.0,0,1.0
6,qubosolverHr,100.0,0,1.0
6,qubosolverQA,98.61111111111111,1,0.9861111111111112
8,qubosolverSA,100.0,0,1.0
8,qubosolverHr,100.0,0,1.0
8,qubosolverQA,85.15625,19,0.8515625
10,qubosolverSA,100.0,0,1.0
10,qubosolverHr,100.0,0,1.0
10,qubosolverQA,85.0,30,0.85
12,qubosolverSA,100.0,0,1.0
12,qubosolverHr,100.0,0,1.0
12,qubosolverQA,92.01388888888889,23,0.9201388888888888
14,qubosolverSA,100.0,0,1.0
14,qubosolverHr,100.0,0,1.0
16,qubosolverSA,99.609375,2,0.99609375
16,qubosolverHr,99.609375,2,0.99609375
18,qubosolverSA,95.67901234567901,28,0.9567901234567902
18,qubosolverHr,95.98765432098766,26,0.9598765432098766
20,qubosolverSA,93.125,55,0.93125
20,qubosolverHr,94.125,47,0.94125
